Disco Messages
Device Address,Device Name,Disco

Parameters
Device Path,Device Name,Node Addr (hex),Node Addr (dec),Object Addr (hex),Object Addr (dec),Parameter Path,Parameter,Command Type,Value,Command
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 2,Mute [0x65],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\x65\x00\x00\x00\x00\xE1\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 2,Mute [0x65],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\x65\x00\x00\x00\x01\xE0\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 3,Gain [0xC8],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x00\xC8\x00\x05\x00\x00\x51\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 3,Mute [0xC9],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\xC9\x00\x00\x00\x00\x4D\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 3,Mute [0xC9],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\xC9\x00\x00\x00\x01\x4C\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 4,Gain [0x12C],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x01\x2C\x00\x05\x00\x00\xB4\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 4,Mute [0x12D],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x01\x2D\x00\x00\x00\x00\xA8\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 4,Mute [0x12D],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x01\x2D\x00\x00\x00\x01\xA9\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 5,Gain [0x190],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x01\x90\x00\x05\x00\x00\x08\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 5,Mute [0x191],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x01\x91\x00\x00\x00\x00\x14\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 5,Mute [0x191],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x01\x91\x00\x00\x00\x01\x1B\x95\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 6,Gain [0x1F4],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x01\xF4\x00\x05\x00\x00\x6C\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 6,Mute [0x1F5],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x01\xF5\x00\x00\x00\x00\x70\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 6,Mute [0x1F5],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x01\xF5\x00\x00\x00\x01\x71\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 7,Gain [0x258],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x1B\x82\x58\x00\x05\x00\x00\xC3\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 7,Mute [0x259],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x82\x59\x00\x00\x00\x00\xDF\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 7,Mute [0x259],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x82\x59\x00\x00\x00\x01\xDE\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 8,Gain [0x2BC],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x1B\x82\xBC\x00\x05\x00\x00\x27\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 8,Mute [0x2BD],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x82\xBD\x00\x00\x00\x00\x3B\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 8,Mute [0x2BD],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x82\xBD\x00\x00\x00\x01\x3A\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 9,Gain [0x320],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\x20\x00\x05\x00\x00\xBA\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 9,Mute [0x321],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\x21\x00\x00\x00\x01\xA7\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 9,Mute [0x321],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\x21\x00\x00\x00\x00\xA6\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 10,Gain [0x384],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\x84\x00\x05\x00\x00\x1E\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 10,Mute [0x385],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\x85\x00\x00\x00\x01\x1B\x83\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 10,Mute [0x385],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\x85\x00\x00\x00\x00\x1B\x82\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 11,Gain [0x3E8],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\xE8\x00\x05\x00\x00\x72\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 11,Mute [0x3E9],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x1B\x83\xE9\x00\x00\x00\x00\x6E\x03
